"species","island","flipper_length_mm","body_mass_g","mass_kg","year"
"Adelie","Torgersen",191,3275,3.275,2009
"Adelie","Torgersen",195,4300,4.3,2009
"Adelie","Torgersen",191,3050,3.05,2009
"Adelie","Torgersen",210,4000,4,2009
"Adelie","Torgersen",190,3325,3.325,2009
"Adelie","Torgersen",197,3500,3.5,2009
"Adelie","Dream",193,3500,3.5,2009
"Adelie","Dream",199,4475,4.475,2009
"Adelie","Dream",187,3425,3.425,2009
"Adelie","Dream",190,3900,3.9,2009
"Adelie","Dream",191,3175,3.175,2009
"Adelie","Dream",200,3975,3.975,2009
"Adelie","Dream",185,3400,3.4,2009
"Adelie","Dream",193,4250,4.25,2009
"Adelie","Dream",193,3400,3.4,2009
"Adelie","Dream",187,3475,3.475,2009
"Adelie","Dream",188,3050,3.05,2009
"Adelie","Dream",190,3725,3.725,2009
"Adelie","Dream",192,3000,3,2009
"Adelie","Dream",185,3650,3.65,2009
"Adelie","Dream",190,4250,4.25,2009
"Adelie","Dream",184,3475,3.475,2009
"Adelie","Dream",195,3450,3.45,2009
"Adelie","Dream",193,3750,3.75,2009
"Adelie","Dream",187,3700,3.7,2009
"Adelie","Dream",201,4000,4,2009
"Gentoo","Biscoe",211,4500,4.5,2007
"Gentoo","Biscoe",230,5700,5.7,2007
"Gentoo","Biscoe",210,4450,4.45,2007
"Gentoo","Biscoe",218,5700,5.7,2007
"Gentoo","Biscoe",215,5400,5.4,2007
"Gentoo","Biscoe",210,4550,4.55,2007
"Gentoo","Biscoe",211,4800,4.8,2007
"Gentoo","Biscoe",219,5200,5.2,2007
"Gentoo","Biscoe",209,4400,4.4,2007
"Gentoo","Biscoe",215,5150,5.15,2007
"Gentoo","Biscoe",214,4650,4.65,2007
"Gentoo","Biscoe",216,5550,5.55,2007
"Gentoo","Biscoe",214,4650,4.65,2007
"Gentoo","Biscoe",213,5850,5.85,2007
"Gentoo","Biscoe",210,4200,4.2,2007
"Gentoo","Biscoe",217,5850,5.85,2007
"Gentoo","Biscoe",210,4150,4.15,2007
"Gentoo","Biscoe",221,6300,6.3,2007
"Gentoo","Biscoe",209,4800,4.8,2007
"Gentoo","Biscoe",222,5350,5.35,2007
"Gentoo","Biscoe",218,5700,5.7,2007
"Gentoo","Biscoe",215,5000,5,2007
"Gentoo","Biscoe",213,4400,4.4,2007
"Gentoo","Biscoe",215,5050,5.05,2007
"Gentoo","Biscoe",215,5000,5,2007
"Gentoo","Biscoe",215,5100,5.1,2007
"Gentoo","Biscoe",216,4100,4.1,2007
"Gentoo","Biscoe",215,5650,5.65,2007
"Gentoo","Biscoe",210,4600,4.6,2007
"Gentoo","Biscoe",220,5550,5.55,2007
"Gentoo","Biscoe",222,5250,5.25,2007
"Gentoo","Biscoe",209,4700,4.7,2007
"Gentoo","Biscoe",207,5050,5.05,2007
"Gentoo","Biscoe",230,6050,6.05,2007
"Gentoo","Biscoe",220,5150,5.15,2008
"Gentoo","Biscoe",220,5400,5.4,2008
"Gentoo","Biscoe",213,4950,4.95,2008
"Gentoo","Biscoe",219,5250,5.25,2008
"Gentoo","Biscoe",208,4350,4.35,2008
"Gentoo","Biscoe",208,5350,5.35,2008
"Gentoo","Biscoe",208,3950,3.95,2008
"Gentoo","Biscoe",225,5700,5.7,2008
"Gentoo","Biscoe",210,4300,4.3,2008
"Gentoo","Biscoe",216,4750,4.75,2008
"Gentoo","Biscoe",222,5550,5.55,2008
"Gentoo","Biscoe",217,4900,4.9,2008
"Gentoo","Biscoe",210,4200,4.2,2008
"Gentoo","Biscoe",225,5400,5.4,2008
"Gentoo","Biscoe",213,5100,5.1,2008
"Gentoo","Biscoe",215,5300,5.3,2008
"Gentoo","Biscoe",210,4850,4.85,2008
"Gentoo","Biscoe",220,5300,5.3,2008
"Gentoo","Biscoe",210,4400,4.4,2008
"Gentoo","Biscoe",225,5000,5,2008
"Gentoo","Biscoe",217,4900,4.9,2008
"Gentoo","Biscoe",220,5050,5.05,2008
"Gentoo","Biscoe",208,4300,4.3,2008
"Gentoo","Biscoe",220,5000,5,2008
"Gentoo","Biscoe",208,4450,4.45,2008
"Gentoo","Biscoe",224,5550,5.55,2008
"Gentoo","Biscoe",208,4200,4.2,2008
"Gentoo","Biscoe",221,5300,5.3,2008
"Gentoo","Biscoe",214,4400,4.4,2008
"Gentoo","Biscoe",231,5650,5.65,2008
"Gentoo","Biscoe",219,4700,4.7,2008
"Gentoo","Biscoe",230,5700,5.7,2008
"Gentoo","Biscoe",214,4650,4.65,2008
"Gentoo","Biscoe",229,5800,5.8,2008
"Gentoo","Biscoe",220,4700,4.7,2008
"Gentoo","Biscoe",223,5550,5.55,2008
"Gentoo","Biscoe",216,4750,4.75,2008
"Gentoo","Biscoe",221,5000,5,2008
"Gentoo","Biscoe",221,5100,5.1,2008
"Gentoo","Biscoe",217,5200,5.2,2008
"Gentoo","Biscoe",216,4700,4.7,2008
"Gentoo","Biscoe",230,5800,5.8,2008
"Gentoo","Biscoe",209,4600,4.6,2008
"Gentoo","Biscoe",220,6000,6,2008
"Gentoo","Biscoe",215,4750,4.75,2008
"Gentoo","Biscoe",223,5950,5.95,2008
"Gentoo","Biscoe",212,4625,4.625,2009
"Gentoo","Biscoe",221,5450,5.45,2009
"Gentoo","Biscoe",212,4725,4.725,2009
"Gentoo","Biscoe",224,5350,5.35,2009
"Gentoo","Biscoe",212,4750,4.75,2009
"Gentoo","Biscoe",228,5600,5.6,2009
"Gentoo","Biscoe",218,4600,4.6,2009
"Gentoo","Biscoe",218,5300,5.3,2009
"Gentoo","Biscoe",212,4875,4.875,2009
"Gentoo","Biscoe",230,5550,5.55,2009
"Gentoo","Biscoe",218,4950,4.95,2009
"Gentoo","Biscoe",228,5400,5.4,2009
"Gentoo","Biscoe",212,4750,4.75,2009
"Gentoo","Biscoe",224,5650,5.65,2009
"Gentoo","Biscoe",214,4850,4.85,2009
"Gentoo","Biscoe",226,5200,5.2,2009
"Gentoo","Biscoe",216,4925,4.925,2009
"Gentoo","Biscoe",222,4875,4.875,2009
"Gentoo","Biscoe",203,4625,4.625,2009
"Gentoo","Biscoe",225,5250,5.25,2009
"Gentoo","Biscoe",219,4850,4.85,2009
"Gentoo","Biscoe",228,5600,5.6,2009
"Gentoo","Biscoe",215,4975,4.975,2009
"Gentoo","Biscoe",228,5500,5.5,2009
"Gentoo","Biscoe",216,4725,4.725,2009
"Gentoo","Biscoe",215,5500,5.5,2009
"Gentoo","Biscoe",210,4700,4.7,2009
"Gentoo","Biscoe",219,5500,5.5,2009
"Gentoo","Biscoe",208,4575,4.575,2009
"Gentoo","Biscoe",209,5500,5.5,2009
"Gentoo","Biscoe",216,5000,5,2009
"Gentoo","Biscoe",229,5950,5.95,2009
"Gentoo","Biscoe",213,4650,4.65,2009
"Gentoo","Biscoe",230,5500,5.5,2009
"Gentoo","Biscoe",217,4375,4.375,2009
"Gentoo","Biscoe",230,5850,5.85,2009
"Gentoo","Biscoe",217,4875,4.875,2009
"Gentoo","Biscoe",222,6000,6,2009
"Gentoo","Biscoe",214,4925,4.925,2009
"Gentoo","Biscoe",215,4850,4.85,2009
"Gentoo","Biscoe",222,5750,5.75,2009
"Gentoo","Biscoe",212,5200,5.2,2009
"Gentoo","Biscoe",213,5400,5.4,2009
"Chinstrap","Dream",192,3500,3.5,2007
"Chinstrap","Dream",196,3900,3.9,2007
"Chinstrap","Dream",193,3650,3.65,2007
"Chinstrap","Dream",188,3525,3.525,2007
"Chinstrap","Dream",197,3725,3.725,2007
"Chinstrap","Dream",198,3950,3.95,2007
"Chinstrap","Dream",178,3250,3.25,2007
"Chinstrap","Dream",197,3750,3.75,2007
"Chinstrap","Dream",195,4150,4.15,2007
"Chinstrap","Dream",198,3700,3.7,2007
"Chinstrap","Dream",193,3800,3.8,2007
"Chinstrap","Dream",194,3775,3.775,2007
"Chinstrap","Dream",185,3700,3.7,2007
"Chinstrap","Dream",201,4050,4.05,2007
"Chinstrap","Dream",190,3575,3.575,2007
"Chinstrap","Dream",201,4050,4.05,2007
"Chinstrap","Dream",197,3300,3.3,2007
"Chinstrap","Dream",181,3700,3.7,2007
"Chinstrap","Dream",190,3450,3.45,2007
"Chinstrap","Dream",195,4400,4.4,2007
"Chinstrap","Dream",181,3600,3.6,2007
"Chinstrap","Dream",191,3400,3.4,2007
"Chinstrap","Dream",187,2900,2.9,2007
"Chinstrap","Dream",193,3800,3.8,2007
"Chinstrap","Dream",195,3300,3.3,2007
"Chinstrap","Dream",197,4150,4.15,2007
"Chinstrap","Dream",200,3400,3.4,2008
"Chinstrap","Dream",200,3800,3.8,2008
"Chinstrap","Dream",191,3700,3.7,2008
"Chinstrap","Dream",205,4550,4.55,2008
"Chinstrap","Dream",187,3200,3.2,2008
"Chinstrap","Dream",201,4300,4.3,2008
"Chinstrap","Dream",187,3350,3.35,2008
"Chinstrap","Dream",203,4100,4.1,2008
"Chinstrap","Dream",195,3600,3.6,2008
"Chinstrap","Dream",199,3900,3.9,2008
"Chinstrap","Dream",195,3850,3.85,2008
"Chinstrap","Dream",210,4800,4.8,2008
"Chinstrap","Dream",192,2700,2.7,2008
"Chinstrap","Dream",205,4500,4.5,2008
"Chinstrap","Dream",210,3950,3.95,2008
"Chinstrap","Dream",187,3650,3.65,2008
"Chinstrap","Dream",196,3550,3.55,2008
"Chinstrap","Dream",196,3500,3.5,2008
"Chinstrap","Dream",196,3675,3.675,2009
"Chinstrap","Dream",201,4450,4.45,2009
"Chinstrap","Dream",190,3400,3.4,2009
"Chinstrap","Dream",212,4300,4.3,2009
"Chinstrap","Dream",187,3250,3.25,2009
"Chinstrap","Dream",198,3675,3.675,2009
"Chinstrap","Dream",199,3325,3.325,2009
"Chinstrap","Dream",201,3950,3.95,2009
"Chinstrap","Dream",193,3600,3.6,2009
"Chinstrap","Dream",203,4050,4.05,2009
"Chinstrap","Dream",187,3350,3.35,2009
"Chinstrap","Dream",197,3450,3.45,2009
"Chinstrap","Dream",191,3250,3.25,2009
"Chinstrap","Dream",203,4050,4.05,2009
"Chinstrap","Dream",202,3800,3.8,2009
"Chinstrap","Dream",194,3525,3.525,2009
"Chinstrap","Dream",206,3950,3.95,2009
"Chinstrap","Dream",189,3650,3.65,2009
"Chinstrap","Dream",195,3650,3.65,2009
"Chinstrap","Dream",207,4000,4,2009
"Chinstrap","Dream",202,3400,3.4,2009
"Chinstrap","Dream",193,3775,3.775,2009
"Chinstrap","Dream",210,4100,4.1,2009
"Chinstrap","Dream",198,3775,3.775,2009
