"species","island","flipper_length_mm","mass_kg","year"
"Adelie","Biscoe",203,4.725,2009
"Adelie","Biscoe",183,3.075,2009
"Adelie","Biscoe",190,4.25,2009
"Adelie","Biscoe",193,2.925,2009
"Adelie","Biscoe",184,3.55,2009
"Adelie","Biscoe",199,3.75,2009
"Adelie","Biscoe",190,3.9,2009
"Adelie","Biscoe",181,3.175,2009
"Adelie","Biscoe",197,4.775,2009
"Adelie","Biscoe",198,3.825,2009
"Adelie","Biscoe",191,4.6,2009
"Adelie","Biscoe",193,3.2,2009
"Adelie","Biscoe",197,4.275,2009
"Adelie","Biscoe",191,3.9,2009
"Adelie","Biscoe",196,4.075,2009
"Adelie","Torgersen",188,2.9,2009
"Adelie","Torgersen",199,3.775,2009
"Adelie","Torgersen",189,3.35,2009
"Adelie","Torgersen",189,3.325,2009
"Adelie","Torgersen",187,3.15,2009
"Adelie","Torgersen",198,3.5,2009
"Adelie","Torgersen",176,3.45,2009
"Adelie","Torgersen",202,3.875,2009
"Adelie","Torgersen",186,3.05,2009
"Adelie","Torgersen",199,4,2009
"Adelie","Torgersen",191,3.275,2009
"Adelie","Torgersen",195,4.3,2009
"Adelie","Torgersen",191,3.05,2009
"Adelie","Torgersen",210,4,2009
"Adelie","Torgersen",190,3.325,2009
"Adelie","Torgersen",197,3.5,2009
"Adelie","Dream",193,3.5,2009
"Adelie","Dream",199,4.475,2009
"Adelie","Dream",187,3.425,2009
"Adelie","Dream",190,3.9,2009
"Adelie","Dream",191,3.175,2009
"Adelie","Dream",200,3.975,2009
"Adelie","Dream",185,3.4,2009
"Adelie","Dream",193,4.25,2009
"Adelie","Dream",193,3.4,2009
"Adelie","Dream",187,3.475,2009
"Adelie","Dream",188,3.05,2009
"Adelie","Dream",190,3.725,2009
"Adelie","Dream",192,3,2009
"Adelie","Dream",185,3.65,2009
"Adelie","Dream",190,4.25,2009
"Adelie","Dream",184,3.475,2009
"Adelie","Dream",195,3.45,2009
"Adelie","Dream",193,3.75,2009
"Adelie","Dream",187,3.7,2009
"Adelie","Dream",201,4,2009
"Gentoo","Biscoe",211,4.5,2007
"Gentoo","Biscoe",230,5.7,2007
"Gentoo","Biscoe",210,4.45,2007
"Gentoo","Biscoe",218,5.7,2007
"Gentoo","Biscoe",215,5.4,2007
"Gentoo","Biscoe",210,4.55,2007
"Gentoo","Biscoe",211,4.8,2007
"Gentoo","Biscoe",219,5.2,2007
"Gentoo","Biscoe",209,4.4,2007
"Gentoo","Biscoe",215,5.15,2007
"Gentoo","Biscoe",214,4.65,2007
"Gentoo","Biscoe",216,5.55,2007
"Gentoo","Biscoe",214,4.65,2007
"Gentoo","Biscoe",213,5.85,2007
"Gentoo","Biscoe",210,4.2,2007
"Gentoo","Biscoe",217,5.85,2007
"Gentoo","Biscoe",210,4.15,2007
"Gentoo","Biscoe",221,6.3,2007
"Gentoo","Biscoe",209,4.8,2007
"Gentoo","Biscoe",222,5.35,2007
"Gentoo","Biscoe",218,5.7,2007
"Gentoo","Biscoe",215,5,2007
"Gentoo","Biscoe",213,4.4,2007
"Gentoo","Biscoe",215,5.05,2007
"Gentoo","Biscoe",215,5,2007
"Gentoo","Biscoe",215,5.1,2007
"Gentoo","Biscoe",216,4.1,2007
"Gentoo","Biscoe",215,5.65,2007
"Gentoo","Biscoe",210,4.6,2007
"Gentoo","Biscoe",220,5.55,2007
"Gentoo","Biscoe",222,5.25,2007
"Gentoo","Biscoe",209,4.7,2007
"Gentoo","Biscoe",207,5.05,2007
"Gentoo","Biscoe",230,6.05,2007
"Gentoo","Biscoe",220,5.15,2008
"Gentoo","Biscoe",220,5.4,2008
"Gentoo","Biscoe",213,4.95,2008
"Gentoo","Biscoe",219,5.25,2008
"Gentoo","Biscoe",208,4.35,2008
"Gentoo","Biscoe",208,5.35,2008
"Gentoo","Biscoe",208,3.95,2008
"Gentoo","Biscoe",225,5.7,2008
"Gentoo","Biscoe",210,4.3,2008
"Gentoo","Biscoe",216,4.75,2008
"Gentoo","Biscoe",222,5.55,2008
"Gentoo","Biscoe",217,4.9,2008
"Gentoo","Biscoe",210,4.2,2008
"Gentoo","Biscoe",225,5.4,2008
"Gentoo","Biscoe",213,5.1,2008
"Gentoo","Biscoe",215,5.3,2008
"Gentoo","Biscoe",210,4.85,2008
"Gentoo","Biscoe",220,5.3,2008
"Gentoo","Biscoe",210,4.4,2008
"Gentoo","Biscoe",225,5,2008
"Gentoo","Biscoe",217,4.9,2008
"Gentoo","Biscoe",220,5.05,2008
"Gentoo","Biscoe",208,4.3,2008
"Gentoo","Biscoe",220,5,2008
"Gentoo","Biscoe",208,4.45,2008
"Gentoo","Biscoe",224,5.55,2008
"Gentoo","Biscoe",208,4.2,2008
"Gentoo","Biscoe",221,5.3,2008
"Gentoo","Biscoe",214,4.4,2008
"Gentoo","Biscoe",231,5.65,2008
"Gentoo","Biscoe",219,4.7,2008
"Gentoo","Biscoe",230,5.7,2008
"Gentoo","Biscoe",214,4.65,2008
"Gentoo","Biscoe",229,5.8,2008
"Gentoo","Biscoe",220,4.7,2008
"Gentoo","Biscoe",223,5.55,2008
"Gentoo","Biscoe",216,4.75,2008
"Gentoo","Biscoe",221,5,2008
"Gentoo","Biscoe",221,5.1,2008
"Gentoo","Biscoe",217,5.2,2008
"Gentoo","Biscoe",216,4.7,2008
"Gentoo","Biscoe",230,5.8,2008
"Gentoo","Biscoe",209,4.6,2008
"Gentoo","Biscoe",220,6,2008
"Gentoo","Biscoe",215,4.75,2008
"Gentoo","Biscoe",223,5.95,2008
"Gentoo","Biscoe",212,4.625,2009
"Gentoo","Biscoe",221,5.45,2009
"Gentoo","Biscoe",212,4.725,2009
"Gentoo","Biscoe",224,5.35,2009
"Gentoo","Biscoe",212,4.75,2009
"Gentoo","Biscoe",228,5.6,2009
"Gentoo","Biscoe",218,4.6,2009
"Gentoo","Biscoe",218,5.3,2009
"Gentoo","Biscoe",212,4.875,2009
"Gentoo","Biscoe",230,5.55,2009
"Gentoo","Biscoe",218,4.95,2009
"Gentoo","Biscoe",228,5.4,2009
"Gentoo","Biscoe",212,4.75,2009
"Gentoo","Biscoe",224,5.65,2009
"Gentoo","Biscoe",214,4.85,2009
"Gentoo","Biscoe",226,5.2,2009
"Gentoo","Biscoe",216,4.925,2009
"Gentoo","Biscoe",222,4.875,2009
"Gentoo","Biscoe",203,4.625,2009
"Gentoo","Biscoe",225,5.25,2009
"Gentoo","Biscoe",219,4.85,2009
"Gentoo","Biscoe",228,5.6,2009
"Gentoo","Biscoe",215,4.975,2009
"Gentoo","Biscoe",228,5.5,2009
"Gentoo","Biscoe",216,4.725,2009
"Gentoo","Biscoe",215,5.5,2009
"Gentoo","Biscoe",210,4.7,2009
"Gentoo","Biscoe",219,5.5,2009
"Gentoo","Biscoe",208,4.575,2009
"Gentoo","Biscoe",209,5.5,2009
"Gentoo","Biscoe",216,5,2009
"Gentoo","Biscoe",229,5.95,2009
"Gentoo","Biscoe",213,4.65,2009
"Gentoo","Biscoe",230,5.5,2009
"Gentoo","Biscoe",217,4.375,2009
"Gentoo","Biscoe",230,5.85,2009
"Gentoo","Biscoe",217,4.875,2009
"Gentoo","Biscoe",222,6,2009
"Gentoo","Biscoe",214,4.925,2009
"Gentoo","Biscoe",215,4.85,2009
"Gentoo","Biscoe",222,5.75,2009
"Gentoo","Biscoe",212,5.2,2009
"Gentoo","Biscoe",213,5.4,2009
"Chinstrap","Dream",192,3.5,2007
"Chinstrap","Dream",196,3.9,2007
"Chinstrap","Dream",193,3.65,2007
"Chinstrap","Dream",188,3.525,2007
"Chinstrap","Dream",197,3.725,2007
"Chinstrap","Dream",198,3.95,2007
"Chinstrap","Dream",178,3.25,2007
"Chinstrap","Dream",197,3.75,2007
"Chinstrap","Dream",195,4.15,2007
"Chinstrap","Dream",198,3.7,2007
"Chinstrap","Dream",193,3.8,2007
"Chinstrap","Dream",194,3.775,2007
"Chinstrap","Dream",185,3.7,2007
"Chinstrap","Dream",201,4.05,2007
"Chinstrap","Dream",190,3.575,2007
"Chinstrap","Dream",201,4.05,2007
"Chinstrap","Dream",197,3.3,2007
"Chinstrap","Dream",181,3.7,2007
"Chinstrap","Dream",190,3.45,2007
"Chinstrap","Dream",195,4.4,2007
"Chinstrap","Dream",181,3.6,2007
"Chinstrap","Dream",191,3.4,2007
"Chinstrap","Dream",187,2.9,2007
"Chinstrap","Dream",193,3.8,2007
"Chinstrap","Dream",195,3.3,2007
"Chinstrap","Dream",197,4.15,2007
"Chinstrap","Dream",200,3.4,2008
"Chinstrap","Dream",200,3.8,2008
"Chinstrap","Dream",191,3.7,2008
"Chinstrap","Dream",205,4.55,2008
"Chinstrap","Dream",187,3.2,2008
"Chinstrap","Dream",201,4.3,2008
"Chinstrap","Dream",187,3.35,2008
"Chinstrap","Dream",203,4.1,2008
"Chinstrap","Dream",195,3.6,2008
"Chinstrap","Dream",199,3.9,2008
"Chinstrap","Dream",195,3.85,2008
"Chinstrap","Dream",210,4.8,2008
"Chinstrap","Dream",192,2.7,2008
"Chinstrap","Dream",205,4.5,2008
"Chinstrap","Dream",210,3.95,2008
"Chinstrap","Dream",187,3.65,2008
"Chinstrap","Dream",196,3.55,2008
"Chinstrap","Dream",196,3.5,2008
"Chinstrap","Dream",196,3.675,2009
"Chinstrap","Dream",201,4.45,2009
"Chinstrap","Dream",190,3.4,2009
"Chinstrap","Dream",212,4.3,2009
"Chinstrap","Dream",187,3.25,2009
"Chinstrap","Dream",198,3.675,2009
"Chinstrap","Dream",199,3.325,2009
"Chinstrap","Dream",201,3.95,2009
"Chinstrap","Dream",193,3.6,2009
"Chinstrap","Dream",203,4.05,2009
"Chinstrap","Dream",187,3.35,2009
"Chinstrap","Dream",197,3.45,2009
"Chinstrap","Dream",191,3.25,2009
"Chinstrap","Dream",203,4.05,2009
"Chinstrap","Dream",202,3.8,2009
"Chinstrap","Dream",194,3.525,2009
"Chinstrap","Dream",206,3.95,2009
"Chinstrap","Dream",189,3.65,2009
"Chinstrap","Dream",195,3.65,2009
"Chinstrap","Dream",207,4,2009
"Chinstrap","Dream",202,3.4,2009
"Chinstrap","Dream",193,3.775,2009
"Chinstrap","Dream",210,4.1,2009
"Chinstrap","Dream",198,3.775,2009
